settlements.month	settlements.open	settlements.high	settlements.low	settlements.last	settlements.change	settlements.settle	settlements.volume	settlements.openInterest	updateTime	dsHeader	reportType	tradeDate	empty	nr
MAY 17	98.7975	98.8125	98.7975	98.8100	+.0100	98.8075	36,021	171,529	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
JUN 17	98.7000	98.7250	98.6950	98.7250	+.0150	98.7150	312,987	1,443,805	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
JLY 17	98.6700	98.7000	98.6700	98.6900	+.0150	98.6800	9,354	32,947	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
AUG 17	98.6350	98.6500	98.6350	98.6500	+.0150	98.6400	71	5,163	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
SEP 17	98.5700	98.5950	98.5650	98.5900	+.0050	98.5850	240,252	1,419,029	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
OCT 17	-	98.5650B	-	98.5650B	UNCH	98.5550	0	0	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
DEC 17	98.4850	98.5050	98.4800	98.5000	UNCH	98.4950	281,679	1,637,684	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
MAR 18	98.3850	98.4100	98.3800	98.4000	-.0050	98.3950	196,174	1,084,549	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
JUN 18	98.2800	98.3000	98.2750	98.2900	-.0100	98.2850	188,505	1,000,284	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
SEP 18	98.1800	98.1950	98.1700	98.1850	-.0150	98.1800	155,812	875,861	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
DEC 18	98.0750	98.0900	98.0600	98.0750	-.0200	98.0700	213,644	1,385,155	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
MAR 19	98.0100	98.0250	97.9950	98.0100	-.0250	98.0000	156,587	725,662	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
JUN 19	97.9450	97.9550	97.9250	97.9400	-.0250	97.9350	125,616	667,948	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
SEP 19	97.8850	97.8950	97.8600	97.8800	-.0300	97.8700	101,063	616,395	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
DEC 19	97.8000	97.8100	97.7750	97.7950	-.0300	97.7850	116,693	699,498	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
MAR 20	97.7600	97.7650	97.7250	97.7500	-.0300	97.7400	81,169	395,535	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
JUN 20	97.7100	97.7200	97.6800	97.7050	-.0300	97.6950	65,103	256,152	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
SEP 20	97.6650	97.6750	97.6300	97.6600	-.0300	97.6500	51,313	200,473	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
DEC 20	97.6050	97.6150	97.5700	97.6000	-.0300	97.5900	77,191	311,676	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
MAR 21	97.5700	97.5800	97.5350	97.5600	-.0250	97.5550	31,804	113,165	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
JUN 21	97.5250	97.5350	97.4950	97.5200	-.0250	97.5150	28,581	126,038	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
SEP 21	97.4800	97.4950	97.4500	97.4750	-.0250	97.4700	29,198	74,129	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
DEC 21	97.4350	97.4450	97.4000	97.4300	-.0200	97.4250	24,633	70,660	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
MAR 22	97.3950	97.4100	97.3700	97.3950	-.0200	97.3900	19,185	41,197	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
JUN 22	97.3600	97.3750B	97.3300	97.3550	-.0200	97.3550	1,367	17,272	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
SEP 22	97.3250	97.3300	97.2950	97.3200A	-.0200	97.3150	635	12,147	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
DEC 22	97.2900	97.2900	97.2600	97.2850	-.0200	97.2750	659	9,051	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
MAR 23	97.2650	97.2650	97.2350	97.2600	-.0200	97.2500	646	7,212	Thursday, 11 May 2017 06:00 PM	Eurodollar Future	Final	05/09/2017	FALSE	1
